id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-05,CLI001,credito,3500.00,Salario janeiro,salario
2,2026-01-12,CLI002,debito,180.50,Supermercado,compra
3,2026-01-20,CLI001,debito,abc,Erro de valor nao numerico,compra
4,2026-02-03,,debito,200.00,Erro de cliente vazio,transferencia
5,2026-02-14,CLI003,credito,15000.00,Transferencia suspeita alta,transferencia
6,2026-02-18,CLI002,debito,320.00,Conta de luz,conta
7,2026-03-01,CLI001,credito,3500.00,Salario marco,salario
8,2026-03-10,CLI003,debito,99.90,Streaming,assinatura
9,,CLI004,credito,500.00,Erro de data vazia,transferencia
10,2026-01-15,CLI004,debito,45.00,Aplicativo de transporte,compra
11,2026-01-22,CLI005,credito,12000.00,Pix recebido alto,transferencia
12,2026-02-10,CLI001,debito,0.00,Erro de valor igual a zero,compra
13,2026-02-25,CLI002,debito,89.90,Farmacia,compra
14,2026-02-28,CLI005,outro,150.00,Erro de tipo invalido,transferencia
15,2026-03-05,CLI004,debito,120.00,Restaurante,compra
16,2026-03-12,CLI002,credito,450.00,Reembolso despesa,outros
17,2026-03-15,CLI001,debito,2300.00,Aluguel,moradia
18,2026-03-20,CLI003,debito,150.00,Gasolina,transporte
19,2026-03-22,CLI005,debito,60.00,Cinema,lazer
20,2026-03-25,CLI002,credito,110.00,Venda de usado,outros